seq_ID,cnt1,cnt2,cnt3,cnt4,cnt5,opt1,opt2,opt3,opt4,opt5,fun1,fun2,fun3,fun4,fun5,file_old,file_new,min_flag
1.0,5392.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5392.0,0.0,0.0,0.0,0.0,data.3rr2epo,3rr2epo.00001,1.0
2.0,5392.0,5567.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,5392.0,3118.0,0.0,0.0,0.0,3rr2epo.00001,3rr2epo.00002,1.0
3.0,5454.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5454.0,0.0,0.0,0.0,0.0,data.3rr2epo,3rr2epo.00003,1.0
4.0,5466.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3755.0,0.0,0.0,0.0,0.0,data.3rr2epo,3rr2epo.00004,1.0
5.0,5392.0,5540.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5392.0,3971.0,0.0,0.0,0.0,3rr2epo.00001,3rr2epo.00005,1.0
6.0,5392.0,5540.0,5335.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5392.0,3971.0,3213.0,0.0,0.0,3rr2epo.00005,3rr2epo.00006,1.0
7.0,5392.0,5540.0,5425.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5392.0,3971.0,3213.0,0.0,0.0,3rr2epo.00005,3rr2epo.00007,1.0
8.0,5392.0,5567.0,5386.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,5392.0,3118.0,3971.0,0.0,0.0,3rr2epo.00002,3rr2epo.00008,1.0
9.0,5392.0,5383.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5392.0,3702.0,0.0,0.0,0.0,3rr2epo.00001,3rr2epo.00009,1.0
10.0,5392.0,5540.0,5425.0,5560.0,0.0,1.0,2.0,1.0,2.0,0.0,5392.0,3971.0,3213.0,812.0,0.0,3rr2epo.00007,3rr2epo.00010,1.0
11.0,5392.0,5567.0,5386.0,5580.0,0.0,1.0,4.0,2.0,2.0,0.0,5392.0,3118.0,3971.0,812.0,0.0,3rr2epo.00008,3rr2epo.00011,1.0
12.0,5392.0,5383.0,5389.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,5392.0,3702.0,812.0,0.0,0.0,3rr2epo.00009,3rr2epo.00012,1.0
13.0,5392.0,5567.0,5565.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,5392.0,3118.0,3820.0,0.0,0.0,3rr2epo.00002,3rr2epo.00013,1.0
14.0,5392.0,5567.0,5323.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,5392.0,3118.0,3755.0,0.0,0.0,3rr2epo.00002,3rr2epo.00014,1.0
15.0,5392.0,5567.0,5565.0,5521.0,0.0,1.0,4.0,4.0,1.0,0.0,5392.0,3118.0,3820.0,3702.0,0.0,3rr2epo.00013,3rr2epo.00015,1.0
16.0,5392.0,5567.0,5386.0,5580.0,5273.0,1.0,4.0,2.0,2.0,1.0,5392.0,3118.0,3971.0,812.0,3755.0,3rr2epo.00011,3rr2epo.00016,1.0
17.0,5392.0,5540.0,5282.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5392.0,3971.0,3702.0,0.0,0.0,3rr2epo.00005,3rr2epo.00017,1.0
18.0,5392.0,5567.0,5386.0,5580.0,5473.0,1.0,4.0,2.0,2.0,1.0,5392.0,3118.0,3971.0,812.0,2532.0,3rr2epo.00011,3rr2epo.00018,1.0
