seq_ID,cnt1,cnt2,cnt3,cnt4,cnt5,opt1,opt2,opt3,opt4,opt5,fun1,fun2,fun3,fun4,fun5,file_old,file_new,min_flag
1.0,5343.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2092.0,0.0,0.0,0.0,0.0,data.3rr5epo,3rr5epo.00001,0.0
2.0,5343.0,5317.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2092.0,929.0,0.0,0.0,0.0,3rr5epo.00001,3rr5epo.00002,0.0
3.0,5343.0,5317.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2092.0,929.0,0.0,0.0,0.0,3rr5epo.00001,3rr5epo.00003,0.0
4.0,5343.0,5317.0,5307.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2092.0,929.0,894.0,0.0,0.0,3rr5epo.00002,3rr5epo.00004,0.0
5.0,5343.0,5317.0,5307.0,5430.0,0.0,2.0,2.0,1.0,4.0,0.0,2092.0,929.0,894.0,2746.0,0.0,3rr5epo.00004,3rr5epo.00005,0.0
6.0,5343.0,5640.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2092.0,1479.0,0.0,0.0,0.0,3rr5epo.00001,3rr5epo.00006,0.0
7.0,5343.0,5317.0,5307.0,5430.0,5642.0,2.0,2.0,1.0,4.0,3.0,2092.0,929.0,894.0,2746.0,220.0,3rr5epo.00005,3rr5epo.00007,0.0
8.0,5343.0,5318.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2092.0,1714.0,0.0,0.0,0.0,3rr5epo.00001,3rr5epo.00008,0.0
9.0,5343.0,5317.0,5505.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2092.0,929.0,1650.0,0.0,0.0,3rr5epo.00002,3rr5epo.00009,0.0
10.0,5343.0,5317.0,5617.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,2092.0,929.0,1788.0,0.0,0.0,3rr5epo.00002,3rr5epo.00010,0.0
11.0,5343.0,5317.0,5307.0,5430.0,5365.0,2.0,2.0,1.0,4.0,1.0,2092.0,929.0,894.0,2746.0,1479.0,3rr5epo.00005,3rr5epo.00011,0.0
12.0,5343.0,5640.0,5524.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,2092.0,1479.0,1714.0,0.0,0.0,3rr5epo.00006,3rr5epo.00012,0.0
13.0,5522.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2092.0,0.0,0.0,0.0,0.0,data.3rr5epo,3rr5epo.00013,0.0
14.0,5343.0,5640.0,5430.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2092.0,1479.0,1064.0,0.0,0.0,3rr5epo.00006,3rr5epo.00014,0.0
15.0,5343.0,5640.0,5504.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2092.0,1479.0,220.0,0.0,0.0,3rr5epo.00006,3rr5epo.00015,0.0
